TEMPERO MANERO,Restaurante,R,15 de Novembro,1200, Parque Santa Mônica,São Carlos, SP,13561-206,16,33743345,31168335,33077958
MIRELLA MIRANDA MARIGO,Restaurante,Av,José Pereira Lopes,308, Vila Prado,São Carlos, SP,13574-380,16,31160775,34139301
VILMA APARECIDA ALBINI COLANGELO,Restaurante,Av,Doutor Carlos Botelho,1465 SETOR LESTE, Centro,São Carlos, SP,13560-250,16,33728496
TEMPERO MANERO,Restaurante,Av,São Carlos,3153, Vila Costa do Sol,São Carlos, SP,13566-330,16,31161974
TEMPERO MANERO,Restaurante,R,Geminiano Costa,638, Jardim São Carlos,São Carlos, SP,13560-641,16,33078200
TEMPERO MANERO,Restaurante,Av,Getúlio Vargas,100, Vila Lutfalla,São Carlos, SP,13570-390,16,31161973
ALEXSANDRA DOS SANTOS XIXARO SACCO,Restaurante,R,General Osório,38, Jardim São Carlos,São Carlos, SP,13560-640,,
BAMBU BRASIL PUB,Restaurante,Av,São Carlos,2948 FDS, Centro,São Carlos, SP,13560-002,,
LA VI LLEETTE,Restaurante,R,15 de Novembro,1330, Parque Santa Mônica,São Carlos, SP,13561-206,16,33722992
RODA CHOPP,Restaurante,Av,São Carlos,2603, Centro,São Carlos, SP,13560-011,16,33722343
RAIMUNDA OSMARINA SILVA DE SOUZA,Restaurante,R,Henrique Gregori,1434, Vila Boa Vista 1,São Carlos, SP,13575-000,16,33661639,33663983,33751474
ODAIR PEDRO DA CRUZ SÃO CARLOS,Restaurante,Av,São Carlos,1122, Centro,São Carlos, SP,13560-001,16,33645575
RODOLPHO DE PAULA & CIA,Restaurante,R,Doutor Carlos Botelho,1465, Centro,São Carlos, SP,13560-250,16,33712885
GRILETTO,Restaurante,Pso,Flamboyants,200, Parque Faber,São Carlos, SP,13561-352,19,38851997
ANTÔNIO OLÍMPIO BIZINELLI,Restaurante,Av,São Carlos,1609, Centro,São Carlos, SP,13560-010,16,33719395,33076202
TAIKAI COZINHA JAPONESA,Restaurante,R,Major José Inácio,1780, Centro,São Carlos, SP,13560-160,16,33720066
OSVALDO BANDEIRA DOS REIS E CIA,Restaurante,R,Antônio Blanco,403, Vila Costa do Sol,São Carlos, SP,13566-020,16,33617710,34131932,997424955
MARQUES & RIBEIRO,Restaurante,R,General Osório,480 C, Jardim São Carlos,São Carlos, SP,13560-640,16,34156909,33727021,33742512
RINCÃO GAÚCHO,Restaurante,R,Antônio Pirolla,11, Vila Alpes,São Carlos, SP,13570-323,16,33684757
